,NAME,Brand,MC,ZONE,Intercept,SP_Coef,UC_Coef,UC,UGST,Price_Range
0,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,EAST,-65788.78237759799,-16.085899953320318,1058.859301294377,63.276890902246045,3.62215228578615,79.69090909 - 95.25568182
1,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,NORTH,-29700.435077309667,-0.221683304464539,469.27082743568815,63.276890902246045,3.62215228578615,79.69090909 - 95.25568182
2,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,SOUTH,354.67562718850513,-0.06363674265145425,-4.717570392747209,63.276890902246045,3.62215228578615,79.69090909 - 95.25568182
3,'SANGI''S KITCHEN BASIL BTL 5 G','SANGI''S KITCHEN',Herbs & Seasoning,WEST,74.87276558289614,-0.2280635450867452,0.8790019274089431,63.276890902246045,3.62215228578615,79.69090909 - 95.25568182
4,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,EAST,925.3998868465205,-42.62066616583104,56.179834631845935,65.08210410512164,1.3788852818962811,74.95220588 - 95.0
5,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,NORTH,1220.9743075907654,11.367942388194566,-24.283754785333386,65.08210410512164,1.3788852818962811,74.95220588 - 95.0
6,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,SOUTH,-2891.018199156112,1.2614350996846868,46.889134369543186,65.08210410512164,1.3788852818962811,74.95220588 - 95.0
7,'SANGI''S KITCHEN OREGANO BTL 8 G','SANGI''S KITCHEN',Herbs & Seasoning,WEST,8694.696274683845,-14.709974909246517,-110.18068348106067,65.08210410512164,1.3788852818962811,74.95220588 - 95.0
8,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,EAST,1935862.8941303275,2440.534439860457,-50667.45710394816,34.555450004043685,0.0,38.0 - 45.20852625
9,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,NORTH,0.002663839629916053,-0.07749999999999979,0.09589822667694653,34.555450004043685,0.0,38.0 - 45.20852625
10,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,SOUTH,12.317390093018162,-0.2633662339117624,0.04740962727758394,34.555450004043685,0.0,38.0 - 45.20852625
11,1014BOILED RICE LOOSE,COP LOOSE,Double Boiled Rice,WEST,8681.557389209684,-200.13304644520886,-7.448109403079965,34.555450004043685,0.0,38.0 - 45.20852625
12,1014RAW RICE BG 25Kg,COP UNBRANDED,Other Raw Rice,EAST,-0.006302964649705552,6.112212582753599,-6.093769252922069,966.81,0.0,976.0 - 998.05
13,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,EAST,36327.98917826079,-399.6571140236146,-431.5094303495425,36.032289882470714,0.0,40.62456901 - 50.0
14,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,NORTH,50.08897772767199,-1.0092751406406149,-0.0628644660130468,36.032289882470714,0.0,40.62456901 - 50.0
15,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,SOUTH,24.366691492437205,-0.4725921036695726,-0.01756265703259502,36.032289882470714,0.0,40.62456901 - 50.0
16,1014RAW RICE LOOSE,COP LOOSE,Kolam Raw Rice,WEST,0.06432854284228466,2.949720639841789,-3.289545696553529,36.032289882470714,0.0,40.62456901 - 50.0
17,1121 RAW TIBAR BASMATI RICE LOOSE,COP LOOSE,Basmati Tibar Rice,WEST,65902.44490814448,-1749.8215931621871,818.7360085453954,57.98703940105391,0.0,61.23839813 - 65.99982765
18,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,EAST,-0.6590944261718686,0.0006465982712301238,0.0011712400245094986,519.2442918540479,27.644216045000384,489.0188679 - 986.0048426
19,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,SOUTH,11174.170758064378,-0.8768073328315698,-21.023109843235144,519.2442918540479,27.644216045000384,489.0188679 - 986.0048426
20,AFGHAN RAISINS LOOSE,COP LOOSE,Raisin,WEST,-24.24579639183377,0.034672847595435485,0.03337449403736649,519.2442918540479,27.644216045000384,489.0188679 - 986.0048426
21,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,EAST,92299.13865329002,-0.7758711345180392,-416.80661704874103,213.94941710223668,10.762351417403732,215.0 - 283.845515
22,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,NORTH,-8421.696603086182,-5.629412106356966,45.95998490199689,213.94941710223668,10.762351417403732,215.0 - 283.845515
23,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,SOUTH,-19469.171246589256,-1.496254130949466,89.04381131032217,213.94941710223668,10.762351417403732,215.0 - 283.845515
24,AGRI PURE RICE LONG GRAIN PP 5kg,AGRI PURE,Popular Rice,WEST,-1293.6223792880332,0.809603690359447,6.070553359047541,213.94941710223668,10.762351417403732,215.0 - 283.845515
25,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,EAST,0.035452325338158557,8.831473945057772,8.669363099515136,254.54983741126492,10.930560125988464,211.7666667 - 302.5
26,AGRIPURE ATTA SAMPOORNA 10kg,AGRI PURE,Wheat Flour,NORTH,0.05669998390664361,13.487330837963366,13.216462869014169,254.54983741126492,10.930560125988464,211.7666667 - 302.5
